0,0,0
0,0.5,0
0.43301,-0.25,0
-0.43301,-0.25,0
-1.2246e-16,0.5,0
0,1,0
0.86603,0.5,0
0.86603,-0.5,0
1.2246e-16,-1,0
-0.86603,-0.5,0
-0.86603,0.5,0
-2.4493e-16,1,0
0,1.5,0
0.96418,1.1491,0
1.4772,0.26047,0
1.299,-0.75,0
0.51303,-1.4095,0
-0.51303,-1.4095,0
-1.299,-0.75,0
-1.4772,0.26047,0
-0.96418,1.1491,0
-3.6739e-16,1.5,0
0,2,0
1,1.7321,0
1.7321,1,0
2,1.2246e-16,0
1.7321,-1,0
1,-1.7321,0
2.4493e-16,-2,0
-1,-1.7321,0
-1.7321,-1,0
-2,-3.6739e-16,0
-1.7321,1,0
-1,1.7321,0
-4.8986e-16,2,0
0,2.5,0
1.0168,2.2839,0
1.8579,1.6728,0
2.3776,0.77254,0
2.4863,-0.26132,0
2.1651,-1.25,0
1.4695,-2.0225,0
0.51978,-2.4454,0
-0.51978,-2.4454,0
-1.4695,-2.0225,0
-2.1651,-1.25,0
-2.4863,-0.26132,0
-2.3776,0.77254,0
-1.8579,1.6728,0
-1.0168,2.2839,0
-6.1232e-16,2.5,0
0,3,0
1.0261,2.8191,0
1.9284,2.2981,0
2.5981,1.5,0
2.9544,0.52094,0
2.9544,-0.52094,0
2.5981,-1.5,0
1.9284,-2.2981,0
1.0261,-2.8191,0
3.6739e-16,-3,0
-1.0261,-2.8191,0
-1.9284,-2.2981,0
-2.5981,-1.5,0
-2.9544,-0.52094,0
-2.9544,0.52094,0
-2.5981,1.5,0
-1.9284,2.2981,0
-1.0261,2.8191,0
-7.3479e-16,3,0
0,3.5,0
1.0316,3.3445,0
1.9716,2.8918,0
2.7364,2.1822,0
3.2581,1.2787,0
3.4902,0.26156,0
3.4122,-0.77882,0
3.0311,-1.75,0
2.3806,-2.5657,0
1.5186,-3.1534,0
0.52165,-3.4609,0
-0.52165,-3.4609,0
-1.5186,-3.1534,0
-2.3806,-2.5657,0
-3.0311,-1.75,0
-3.4122,-0.77882,0
-3.4902,0.26156,0
-3.2581,1.2787,0
-2.7364,2.1822,0
-1.9716,2.8918,0
-1.0316,3.3445,0
-8.5725e-16,3.5,0
0,4,0
0.99476,3.8743,0
1.927,3.5052,0
2.7382,2.9159,0
3.3773,2.1433,0
3.8042,1.2361,0
3.9921,0.25116,0
3.9291,-0.74953,0
3.6193,-1.7031,0
3.0821,-2.5497,0
2.3511,-3.2361,0
1.4725,-3.7191,0
0.50133,-3.9685,0
-0.50133,-3.9685,0
-1.4725,-3.7191,0
-2.3511,-3.2361,0
-3.0821,-2.5497,0
-3.6193,-1.7031,0
-3.9291,-0.74953,0
-3.9921,0.25116,0
-3.8042,1.2361,0
-3.3773,2.1433,0
-2.7382,2.9159,0
-1.927,3.5052,0
-0.99476,3.8743,0
2.573e-15,4,0
0,4.5,0
1.0013,4.3872,0
1.9525,4.0544,0
2.8057,3.5182,0
3.5182,2.8057,0
4.0544,1.9525,0
4.3872,1.0013,0
4.5,2.7555e-16,0
4.3872,-1.0013,0
4.0544,-1.9525,0
3.5182,-2.8057,0
2.8057,-3.5182,0
1.9525,-4.0544,0
1.0013,-4.3872,0
5.5109e-16,-4.5,0
-1.0013,-4.3872,0
-1.9525,-4.0544,0
-2.8057,-3.5182,0
-3.5182,-2.8057,0
-4.0544,-1.9525,0
-4.3872,-1.0013,0
-4.5,-8.2664e-16,0
-4.3872,1.0013,0
-4.0544,1.9525,0
-3.5182,2.8057,0
-2.8057,3.5182,0
-1.9525,4.0544,0
-1.0013,4.3872,0
-1.1022e-15,4.5,0
0,5,0
1.0065,4.8976,0
1.9718,4.5948,0
2.8563,4.1038,0
3.624,3.4448,0
4.2432,2.6448,0
4.6888,1.7365,0
4.9423,0.75714,0
4.9936,-0.25325,0
4.8404,-1.2533,0
4.489,-2.202,0
3.9539,-3.0605,0
3.2569,-3.7938,0
2.4265,-4.3717,0
1.4968,-4.7707,0
0.50584,-4.9743,0
-0.50584,-4.9743,0
-1.4968,-4.7707,0
-2.4265,-4.3717,0
-3.2569,-3.7938,0
-3.9539,-3.0605,0
-4.489,-2.202,0
-4.8404,-1.2533,0
-4.9936,-0.25325,0
-4.9423,0.75714,0
-4.6888,1.7365,0
-4.2432,2.6448,0
-3.624,3.4448,0
-2.8563,4.1038,0
-1.9718,4.5948,0
-1.0065,4.8976,0
-1.2246e-15,5,0
0,5.5,0
1.0106,5.4064,0
1.9868,5.1286,0
2.8954,4.6762,0
3.7053,4.0645,0
4.3891,3.3145,0
4.9234,2.4516,0
5.29,1.5051,0
5.4765,0.50748,0
5.4765,-0.50748,0
5.29,-1.5051,0
4.9234,-2.4516,0
4.3891,-3.3145,0
3.7053,-4.0645,0
2.8954,-4.6762,0
1.9868,-5.1286,0
1.0106,-5.4064,0
6.7356e-16,-5.5,0
-1.0106,-5.4064,0
-1.9868,-5.1286,0
-2.8954,-4.6762,0
-3.7053,-4.0645,0
-4.3891,-3.3145,0
-4.9234,-2.4516,0
-5.29,-1.5051,0
-5.4765,-0.50748,0
-5.4765,0.50748,0
-5.29,1.5051,0
-4.9234,2.4516,0
-4.3891,3.3145,0
-3.7053,4.0645,0
-2.8954,4.6762,0
-1.9868,5.1286,0
-1.0106,5.4064,0
-1.3471e-15,5.5,0
0,6,0
1.014,5.9137,0
1.9988,5.6573,0
